Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
ZCTA5 00601,,,,
    Estimate,-,"82,300","81,700","95,100"
    Margin of Error,**,"±10,863","±29,876","±20,917"
ZCTA5 00602,,,,
    Estimate,-,"144,600","116,100","112,200"
    Margin of Error,**,"±45,088","±15,512","±20,066"
ZCTA5 00603,,,,
    Estimate,"260,300","134,400","130,400","124,100"
    Margin of Error,"±31,083","±57,761","±13,058","±12,732"
ZCTA5 00606,,,,
    Estimate,-,"58,200","97,000","92,900"
    Margin of Error,**,"±25,881","±37,195","±14,438"
ZCTA5 00610,,,,
    Estimate,-,"115,900","110,500","112,000"
    Margin of Error,**,"±26,647","±15,103","±14,945"
ZCTA5 00612,,,,
    Estimate,"151,500","116,600","110,700","107,500"
    Margin of Error,"±72,046","±18,132","±12,464","±9,579"
ZCTA5 00616,,,,
    Estimate,-,"71,900","96,700","104,600"
    Margin of Error,**,"±29,741","±23,761","±15,078"
ZCTA5 00617,,,,
    Estimate,-,"114,900","99,300","114,700"
    Margin of Error,**,"±35,756","±25,804","±10,172"
ZCTA5 00622,,,,
    Estimate,-,"135,400","225,000","132,900"
    Margin of Error,**,"±84,611","±52,163","±13,726"
ZCTA5 00623,,,,
    Estimate,-,"126,900","106,600","119,800"
    Margin of Error,**,"±20,012","±14,538","±10,360"
ZCTA5 00624,,,,
    Estimate,-,"61,400","75,900","87,600"
    Margin of Error,**,"±44,233","±37,908","±15,798"
ZCTA5 00627,,,,
    Estimate,-,"92,900","94,300","92,900"
    Margin of Error,**,"±6,349","±9,457","±9,639"
ZCTA5 00631,,,,
    Estimate,-,-,-,"91,700"
    Margin of Error,**,**,**,"±35,130"
ZCTA5 00637,,,,
    Estimate,"98,100","96,700","95,500","101,900"
    Margin of Error,"±9,358","±4,604","±5,144","±6,339"
ZCTA5 00638,,,,
    Estimate,-,"105,700","82,000","112,100"
    Margin of Error,**,"±22,995","±21,142","±15,105"
ZCTA5 00641,,,,
    Estimate,"121,300","59,200","87,100","93,000"
    Margin of Error,"±74,083","±11,619","±15,486","±6,269"
ZCTA5 00646,,,,
    Estimate,-,"155,100","158,200","175,400"
    Margin of Error,**,"±22,806","±21,341","±33,215"
ZCTA5 00647,,,,
    Estimate,-,-,"91,300","79,200"
    Margin of Error,**,**,"±7,000","±11,555"
ZCTA5 00650,,,,
    Estimate,-,"76,100","93,400","97,900"
    Margin of Error,**,"±44,042","±6,183","±5,043"
ZCTA5 00652,,,,
    Estimate,-,-,"102,100","104,100"
    Margin of Error,**,**,"±19,423","±10,065"
ZCTA5 00653,,,,
    Estimate,-,"93,600","95,300","80,100"
    Margin of Error,**,"±13,626","±4,688","±6,664"
ZCTA5 00656,,,,
    Estimate,-,"95,600","74,700","82,400"
    Margin of Error,**,"±19,302","±10,151","±7,335"
ZCTA5 00659,,,,
    Estimate,-,"82,500","103,800","108,400"
    Margin of Error,**,"±15,470","±18,195","±9,412"
ZCTA5 00660,,,,
    Estimate,-,"111,400","115,100","101,300"
    Margin of Error,**,"±6,572","±40,075","±12,296"
ZCTA5 00662,,,,
    Estimate,"152,600","128,800","122,800","112,900"
    Margin of Error,"±122,571","±18,199","±26,341","±7,161"
ZCTA5 00664,,,,
    Estimate,"212,100","82,600","100,000","112,700"
    Margin of Error,"±196,817","±14,927","±34,217","±40,446"
ZCTA5 00667,,,,
    Estimate,-,"101,500","86,400","102,400"
    Margin of Error,**,"±12,663","±40,885","±13,961"
ZCTA5 00669,,,,
    Estimate,-,"77,200","88,100","93,800"
    Margin of Error,**,"±22,294","±28,872","±8,508"
ZCTA5 00670,,,,
    Estimate,-,"96,500","86,900","93,100"
    Margin of Error,**,"±13,244","±36,447","±9,209"
ZCTA5 00674,,,,
    Estimate,-,"118,800","109,100","118,600"
    Margin of Error,**,"±16,965","±12,988","±11,434"
ZCTA5 00676,,,,
    Estimate,-,"87,100","107,500","110,400"
    Margin of Error,**,"±16,821","±15,045","±16,495"
ZCTA5 00677,,,,
    Estimate,-,"252,800","119,000","146,900"
    Margin of Error,**,"±103,243","±82,443","±45,441"
ZCTA5 00678,,,,
    Estimate,"80,900","125,300","113,200","102,900"
